id	num	neg_score	neg_p_value	neg_fdr	neg_rank	neg_goodsgrna	neg_lfc	pos_score	pos_p_value	pos_fdr	pos_rank	pos_goodsgrna	pos_lfc
Babam2	4	0.56224	0.6382	1	12937	1	-0.038695	0.77569	0.77969	1	16087	1	-0.038695
Defb33	4	0.94371	0.94359	1	19634	0	0.049758	0.77572	0.77971	1	16088	1	0.049758
NO_SITE_559	1	0.22425	0.22392	1	7239	1	-0.08669	0.77575	0.77609	1	16089	0	-0.08669
Olfr1265	4	0.068087	0.15551	0.991531	3149	2	-0.070327	0.77577	0.77975	1	16090	1	-0.070327
Rtbdn	4	0.093518	0.203	1	4056	3	-0.077926	0.77582	0.77979	1	16091	1	-0.077926
Smlr1	4	0.24157	0.37949	1	7591	2	-0.024253	0.77587	0.77983	1	16092	1	-0.024253
Ubl3	4	0.37282	0.51648	1	10306	1	-0.012587	0.77589	0.77984	1	16093	1	-0.012587
Cyp2c66	4	0.041688	0.1041	0.961532	2177	3	-0.11957	0.77594	0.77988	1	16094	1	-0.11957
NO_SITE_443	1	0.22405	0.22373	1	7234	1	-0.087666	0.77595	0.77629	1	16095	0	-0.087666
Rab6b	4	0.044165	0.10903	0.961532	2270	2	-0.084443	0.77597	0.7799	1	16096	1	-0.084443
Rnf216	4	0.86763	0.86724	1	17987	0	0.019802	0.776	0.77992	1	16097	1	0.019802
Zbtb49	4	0.72981	0.74172	1	15273	1	-0.067141	0.77612	0.78002	1	16098	1	-0.067141
Rnls	4	0.30199	0.44238	1	8847	2	-0.013867	0.77615	0.78005	1	16099	1	-0.013867
Olfr954	3	0.70581	0.706	1	14874	1	-0.051107	0.77628	0.7763	1	16100	0	-0.051107
Zan	4	0.31201	0.45287	1	9048	2	-0.06415	0.77633	0.78019	1	16101	1	-0.06415
Krt35	4	0.089881	0.19629	1	3925	3	-0.096107	0.77636	0.78022	1	16102	1	-0.096107
NO_SITE_765	1	0.2236	0.22327	1	7226	1	-0.11734	0.7764	0.77675	1	16103	0	-0.11734
NO_SITE_308	1	0.22348	0.22316	1	7223	1	-0.090077	0.77652	0.77687	1	16104	0	-0.090077
Bend5	4	0.45836	0.5886	1	11773	1	0.015434	0.77656	0.78037	1	16105	1	0.015434
Slc18a2	4	0.58843	0.65209	1	13256	1	-0.012858	0.77669	0.78047	1	16106	1	-0.012858
Tmc7	4	0.059871	0.13974	0.988137	2850	3	-0.1412	0.77672	0.7805	1	16107	1	-0.1412
Dctn6	4	0.93721	0.93708	1	19501	0	0.080667	0.77674	0.78051	1	16108	1	0.080667
Homer3	4	0.72217	0.736	1	15155	1	0.029793	0.77676	0.78052	1	16109	1	0.029793
