Gene1	Gene2	std_gene1	std_gene2
MRPL19	MRPL20	MRPL19	MRPL20
MRPL19	MRPL13	MRPL19	MRPL13
MRPL19	MRPL9	MRPL19	MRPL9
MRPL19	MRPL4	MRPL19	MRPL4
MRPL19	MRPL1	MRPL19	MRPL1
MRPL19	MRPL37	MRPL19	MRPL37
MRPL19	MRPL18	MRPL19	MRPL18
MRPL19	MRPL46	MRPL19	MRPL46
MRPL19	MRPL44	MRPL19	MRPL44
MRPL19	MRPL47	MRPL19	MRPL47
MRPL19	MRPL40	MRPL19	MRPL40
MRPL19	MRPL17	MRPL19	MRPL17
MRPL19	MRPL22	MRPL19	MRPL22
MRPL19	MRPL16	MRPL19	MRPL16
MRPL19	MRPL39	MRPL19	MRPL39
MRPL19	MRPL35	MRPL19	MRPL35
MRPL19	MRPL15	MRPL19	MRPL15
MRPL19	MRPL36	MRPL19	MRPL36
MRPL19	MRPL27	MRPL19	MRPL27
MRPL19	MRPL11	MRPL19	MRPL11
MRPL19	MRPL42	MRPL19	MRPL42
MRPL12	LACTB	MRPL12	LACTB
MRPL12	MRPL28	MRPL12	MRPL28
MRPL12	MRPL49	MRPL12	MRPL49
MRPL12	MRPL23	MRPL12	MRPL23
MRPL12	MRPL51	MRPL12	MRPL51
MRPL12	MRPL2	MRPL12	MRPL2
MRPL12	MRPL54	MRPL12	MRPL54
MRPL12	MRPL14	MRPL12	MRPL14
MRPL12	MRPL21	MRPL12	MRPL21
MRPL12	MRPL55	MRPL12	MRPL55
MRPL12	MRPL10	MRPL12	MRPL10
MRPL12	MRPL52	MRPL12	MRPL52
MRPL12	MRPL41	MRPL12	MRPL41
MRPL12	MRPL50	MRPL12	MRPL50
MRPL12	MRPL43	MRPL12	MRPL43
MRPL12	MRPL30	MRPL12	MRPL30
MRPL12	MRPL24	MRPL12	MRPL24
MRPL12	MRPL38	MRPL12	MRPL38
MRPL12	MRPL53	MRPL12	MRPL53
MRPL12	MRPL48	MRPL12	MRPL48
MRPL12	MRPL34	MRPL12	MRPL34
MRPL12	MRPL45	MRPL12	MRPL45
MRPL12	MRPL32	MRPL12	MRPL32
MRPL12	MRPL20	MRPL12	MRPL20
MRPL12	MRPL13	MRPL12	MRPL13
MRPL12	MRPL9	MRPL12	MRPL9
MRPL12	MRPL4	MRPL12	MRPL4
MRPL12	MRPL1	MRPL12	MRPL1
MRPL12	MRPL37	MRPL12	MRPL37
MRPL12	MRPL18	MRPL12	MRPL18
MRPL12	MRPL46	MRPL12	MRPL46
MRPL12	MRPL44	MRPL12	MRPL44
MRPL12	MRPL47	MRPL12	MRPL47
MRPL12	MRPL40	MRPL12	MRPL40
MRPL12	MRPL17	MRPL12	MRPL17
MRPL12	MRPL22	MRPL12	MRPL22
MRPL12	MRPL16	MRPL12	MRPL16
MRPL12	MRPL39	MRPL12	MRPL39
MRPL12	MRPL35	MRPL12	MRPL35
MRPL12	MRPL15	MRPL12	MRPL15
MRPL12	MRPL36	MRPL12	MRPL36
MRPL12	MRPL27	MRPL12	MRPL27
MRPL12	MRPL11	MRPL12	MRPL11
MRPL12	MRPL42	MRPL12	MRPL42
LACTB	MRPL28	LACTB	MRPL28
LACTB	MRPL49	LACTB	MRPL49
LACTB	MRPL23	LACTB	MRPL23
LACTB	MRPL51	LACTB	MRPL51
LACTB	MRPL2	LACTB	MRPL2
LACTB	MRPL54	LACTB	MRPL54
LACTB	MRPL14	LACTB	MRPL14
LACTB	MRPL21	LACTB	MRPL21
LACTB	MRPL55	LACTB	MRPL55
LACTB	MRPL10	LACTB	MRPL10
LACTB	MRPL52	LACTB	MRPL52
LACTB	MRPL41	LACTB	MRPL41
LACTB	MRPL50	LACTB	MRPL50
LACTB	MRPL43	LACTB	MRPL43
LACTB	MRPL30	LACTB	MRPL30
LACTB	MRPL24	LACTB	MRPL24
LACTB	MRPL38	LACTB	MRPL38
LACTB	MRPL53	LACTB	MRPL53
LACTB	MRPL48	LACTB	MRPL48
LACTB	MRPL34	LACTB	MRPL34
LACTB	MRPL45	LACTB	MRPL45
LACTB	MRPL32	LACTB	MRPL32
LACTB	MRPL20	LACTB	MRPL20
LACTB	MRPL13	LACTB	MRPL13
LACTB	MRPL9	LACTB	MRPL9
LACTB	MRPL4	LACTB	MRPL4
LACTB	MRPL1	LACTB	MRPL1
LACTB	MRPL37	LACTB	MRPL37
LACTB	MRPL18	LACTB	MRPL18
LACTB	MRPL46	LACTB	MRPL46
LACTB	MRPL44	LACTB	MRPL44
LACTB	MRPL47	LACTB	MRPL47
LACTB	MRPL40	LACTB	MRPL40
LACTB	MRPL17	LACTB	MRPL17
LACTB	MRPL22	LACTB	MRPL22
LACTB	MRPL16	LACTB	MRPL16
LACTB	MRPL39	LACTB	MRPL39
LACTB	MRPL35	LACTB	MRPL35
LACTB	MRPL15	LACTB	MRPL15
LACTB	MRPL36	LACTB	MRPL36
LACTB	MRPL27	LACTB	MRPL27
LACTB	MRPL11	LACTB	MRPL11
LACTB	MRPL42	LACTB	MRPL42
MRPL28	MRPL49	MRPL28	MRPL49
MRPL28	MRPL23	MRPL28	MRPL23
MRPL28	MRPL51	MRPL28	MRPL51
MRPL28	MRPL2	MRPL28	MRPL2
MRPL28	MRPL54	MRPL28	MRPL54
MRPL28	MRPL14	MRPL28	MRPL14
MRPL28	MRPL21	MRPL28	MRPL21
MRPL28	MRPL55	MRPL28	MRPL55
MRPL28	MRPL10	MRPL28	MRPL10
MRPL28	MRPL52	MRPL28	MRPL52
MRPL28	MRPL41	MRPL28	MRPL41
MRPL28	MRPL50	MRPL28	MRPL50
MRPL28	MRPL43	MRPL28	MRPL43
MRPL28	MRPL30	MRPL28	MRPL30
MRPL28	MRPL24	MRPL28	MRPL24
MRPL28	MRPL38	MRPL28	MRPL38
MRPL28	MRPL53	MRPL28	MRPL53
MRPL28	MRPL48	MRPL28	MRPL48
MRPL28	MRPL34	MRPL28	MRPL34
MRPL28	MRPL45	MRPL28	MRPL45
MRPL28	MRPL32	MRPL28	MRPL32
MRPL28	MRPL20	MRPL28	MRPL20
MRPL28	MRPL13	MRPL28	MRPL13
MRPL28	MRPL9	MRPL28	MRPL9
MRPL28	MRPL4	MRPL28	MRPL4
MRPL28	MRPL1	MRPL28	MRPL1
MRPL28	MRPL37	MRPL28	MRPL37
MRPL28	MRPL18	MRPL28	MRPL18
MRPL28	MRPL46	MRPL28	MRPL46
MRPL28	MRPL44	MRPL28	MRPL44
MRPL28	MRPL47	MRPL28	MRPL47
MRPL28	MRPL40	MRPL28	MRPL40
MRPL28	MRPL17	MRPL28	MRPL17
MRPL28	MRPL22	MRPL28	MRPL22
MRPL28	MRPL16	MRPL28	MRPL16
MRPL28	MRPL39	MRPL28	MRPL39
MRPL28	MRPL35	MRPL28	MRPL35
MRPL28	MRPL15	MRPL28	MRPL15
MRPL28	MRPL36	MRPL28	MRPL36
MRPL28	MRPL27	MRPL28	MRPL27
MRPL28	MRPL11	MRPL28	MRPL11
MRPL28	MRPL42	MRPL28	MRPL42
MRPL49	MRPL23	MRPL49	MRPL23
MRPL49	MRPL51	MRPL49	MRPL51
MRPL49	MRPL2	MRPL49	MRPL2
MRPL49	MRPL54	MRPL49	MRPL54
MRPL49	MRPL14	MRPL49	MRPL14
MRPL49	MRPL21	MRPL49	MRPL21
MRPL49	MRPL55	MRPL49	MRPL55
MRPL49	MRPL10	MRPL49	MRPL10
MRPL49	MRPL52	MRPL49	MRPL52
MRPL49	MRPL41	MRPL49	MRPL41
MRPL49	MRPL50	MRPL49	MRPL50
MRPL49	MRPL43	MRPL49	MRPL43
MRPL49	MRPL30	MRPL49	MRPL30
MRPL49	MRPL24	MRPL49	MRPL24
MRPL49	MRPL38	MRPL49	MRPL38
MRPL49	MRPL53	MRPL49	MRPL53
MRPL49	MRPL48	MRPL49	MRPL48
MRPL49	MRPL34	MRPL49	MRPL34
MRPL49	MRPL45	MRPL49	MRPL45
MRPL49	MRPL32	MRPL49	MRPL32
MRPL49	MRPL20	MRPL49	MRPL20
MRPL49	MRPL13	MRPL49	MRPL13
MRPL49	MRPL9	MRPL49	MRPL9
MRPL49	MRPL4	MRPL49	MRPL4
MRPL49	MRPL1	MRPL49	MRPL1
MRPL49	MRPL37	MRPL49	MRPL37
MRPL49	MRPL18	MRPL49	MRPL18
MRPL49	MRPL46	MRPL49	MRPL46
MRPL49	MRPL44	MRPL49	MRPL44
MRPL49	MRPL47	MRPL49	MRPL47
MRPL49	MRPL40	MRPL49	MRPL40
MRPL49	MRPL17	MRPL49	MRPL17
MRPL49	MRPL22	MRPL49	MRPL22
MRPL49	MRPL16	MRPL49	MRPL16
MRPL49	MRPL39	MRPL49	MRPL39
MRPL49	MRPL35	MRPL49	MRPL35
MRPL49	MRPL15	MRPL49	MRPL15
MRPL49	MRPL36	MRPL49	MRPL36
MRPL49	MRPL27	MRPL49	MRPL27
MRPL49	MRPL11	MRPL49	MRPL11
MRPL49	MRPL42	MRPL49	MRPL42
MRPL23	MRPL51	MRPL23	MRPL51
MRPL23	MRPL2	MRPL23	MRPL2
MRPL23	MRPL54	MRPL23	MRPL54
MRPL23	MRPL14	MRPL23	MRPL14
MRPL23	MRPL21	MRPL23	MRPL21
MRPL23	MRPL55	MRPL23	MRPL55
MRPL23	MRPL10	MRPL23	MRPL10
MRPL23	MRPL52	MRPL23	MRPL52
MRPL23	MRPL41	MRPL23	MRPL41
MRPL23	MRPL50	MRPL23	MRPL50
MRPL23	MRPL43	MRPL23	MRPL43
MRPL23	MRPL30	MRPL23	MRPL30
MRPL23	MRPL24	MRPL23	MRPL24
MRPL23	MRPL38	MRPL23	MRPL38
MRPL23	MRPL53	MRPL23	MRPL53
MRPL23	MRPL48	MRPL23	MRPL48
MRPL23	MRPL34	MRPL23	MRPL34
MRPL23	MRPL45	MRPL23	MRPL45
MRPL23	MRPL32	MRPL23	MRPL32
MRPL23	MRPL20	MRPL23	MRPL20
MRPL23	MRPL13	MRPL23	MRPL13
MRPL23	MRPL9	MRPL23	MRPL9
MRPL23	MRPL4	MRPL23	MRPL4
MRPL23	MRPL1	MRPL23	MRPL1
MRPL23	MRPL37	MRPL23	MRPL37
MRPL23	MRPL18	MRPL23	MRPL18
MRPL23	MRPL46	MRPL23	MRPL46
MRPL23	MRPL44	MRPL23	MRPL44
MRPL23	MRPL47	MRPL23	MRPL47
MRPL23	MRPL40	MRPL23	MRPL40
MRPL23	MRPL17	MRPL23	MRPL17
MRPL23	MRPL22	MRPL23	MRPL22
MRPL23	MRPL16	MRPL23	MRPL16
MRPL23	MRPL39	MRPL23	MRPL39
MRPL23	MRPL35	MRPL23	MRPL35
MRPL23	MRPL15	MRPL23	MRPL15
MRPL23	MRPL36	MRPL23	MRPL36
MRPL23	MRPL27	MRPL23	MRPL27
MRPL23	MRPL11	MRPL23	MRPL11
MRPL23	MRPL42	MRPL23	MRPL42
MRPL51	MRPL2	MRPL51	MRPL2
MRPL51	MRPL54	MRPL51	MRPL54
MRPL51	MRPL14	MRPL51	MRPL14
MRPL51	MRPL21	MRPL51	MRPL21
MRPL51	MRPL55	MRPL51	MRPL55
MRPL51	MRPL10	MRPL51	MRPL10
MRPL51	MRPL52	MRPL51	MRPL52
MRPL51	MRPL41	MRPL51	MRPL41
MRPL51	MRPL50	MRPL51	MRPL50
MRPL51	MRPL43	MRPL51	MRPL43
MRPL51	MRPL30	MRPL51	MRPL30
MRPL51	MRPL24	MRPL51	MRPL24
MRPL51	MRPL38	MRPL51	MRPL38
MRPL51	MRPL53	MRPL51	MRPL53
MRPL51	MRPL48	MRPL51	MRPL48
MRPL51	MRPL34	MRPL51	MRPL34
MRPL51	MRPL45	MRPL51	MRPL45
MRPL51	MRPL32	MRPL51	MRPL32
MRPL51	MRPL20	MRPL51	MRPL20
MRPL51	MRPL13	MRPL51	MRPL13
MRPL51	MRPL9	MRPL51	MRPL9
MRPL51	MRPL4	MRPL51	MRPL4
MRPL51	MRPL1	MRPL51	MRPL1
MRPL51	MRPL37	MRPL51	MRPL37
MRPL51	MRPL18	MRPL51	MRPL18
MRPL51	MRPL46	MRPL51	MRPL46
MRPL51	MRPL44	MRPL51	MRPL44
MRPL51	MRPL47	MRPL51	MRPL47
MRPL51	MRPL40	MRPL51	MRPL40
MRPL51	MRPL17	MRPL51	MRPL17
MRPL51	MRPL22	MRPL51	MRPL22
MRPL51	MRPL16	MRPL51	MRPL16
MRPL51	MRPL39	MRPL51	MRPL39
MRPL51	MRPL35	MRPL51	MRPL35
MRPL51	MRPL15	MRPL51	MRPL15
MRPL51	MRPL36	MRPL51	MRPL36
MRPL51	MRPL27	MRPL51	MRPL27
MRPL51	MRPL11	MRPL51	MRPL11
MRPL51	MRPL42	MRPL51	MRPL42
MRPL2	MRPL54	MRPL2	MRPL54
MRPL2	MRPL14	MRPL2	MRPL14
MRPL2	MRPL21	MRPL2	MRPL21
MRPL2	MRPL55	MRPL2	MRPL55
MRPL2	MRPL10	MRPL2	MRPL10
MRPL2	MRPL52	MRPL2	MRPL52
MRPL2	MRPL41	MRPL2	MRPL41
MRPL2	MRPL50	MRPL2	MRPL50
MRPL2	MRPL43	MRPL2	MRPL43
MRPL2	MRPL30	MRPL2	MRPL30
MRPL2	MRPL24	MRPL2	MRPL24
MRPL2	MRPL38	MRPL2	MRPL38
MRPL2	MRPL53	MRPL2	MRPL53
MRPL2	MRPL48	MRPL2	MRPL48
MRPL2	MRPL34	MRPL2	MRPL34
MRPL2	MRPL45	MRPL2	MRPL45
MRPL2	MRPL32	MRPL2	MRPL32
MRPL2	MRPL20	MRPL2	MRPL20
MRPL2	MRPL13	MRPL2	MRPL13
MRPL2	MRPL9	MRPL2	MRPL9
MRPL2	MRPL4	MRPL2	MRPL4
MRPL2	MRPL1	MRPL2	MRPL1
MRPL2	MRPL37	MRPL2	MRPL37
MRPL2	MRPL18	MRPL2	MRPL18
MRPL2	MRPL46	MRPL2	MRPL46
MRPL2	MRPL44	MRPL2	MRPL44
MRPL2	MRPL47	MRPL2	MRPL47
MRPL2	MRPL40	MRPL2	MRPL40
MRPL2	MRPL17	MRPL2	MRPL17
MRPL2	MRPL22	MRPL2	MRPL22
MRPL2	MRPL16	MRPL2	MRPL16
MRPL2	MRPL39	MRPL2	MRPL39
MRPL2	MRPL35	MRPL2	MRPL35
MRPL2	MRPL15	MRPL2	MRPL15
MRPL2	MRPL36	MRPL2	MRPL36
MRPL2	MRPL27	MRPL2	MRPL27
MRPL2	MRPL11	MRPL2	MRPL11
MRPL2	MRPL42	MRPL2	MRPL42
MRPL54	MRPL14	MRPL54	MRPL14
MRPL54	MRPL21	MRPL54	MRPL21
MRPL54	MRPL55	MRPL54	MRPL55
MRPL54	MRPL10	MRPL54	MRPL10
MRPL54	MRPL52	MRPL54	MRPL52
MRPL54	MRPL41	MRPL54	MRPL41
MRPL54	MRPL50	MRPL54	MRPL50
MRPL54	MRPL43	MRPL54	MRPL43
MRPL54	MRPL30	MRPL54	MRPL30
MRPL54	MRPL24	MRPL54	MRPL24
MRPL54	MRPL38	MRPL54	MRPL38
MRPL54	MRPL53	MRPL54	MRPL53
MRPL54	MRPL48	MRPL54	MRPL48
MRPL54	MRPL34	MRPL54	MRPL34
MRPL54	MRPL45	MRPL54	MRPL45
MRPL54	MRPL32	MRPL54	MRPL32
MRPL54	MRPL20	MRPL54	MRPL20
MRPL54	MRPL13	MRPL54	MRPL13
MRPL54	MRPL9	MRPL54	MRPL9
MRPL54	MRPL4	MRPL54	MRPL4
MRPL54	MRPL1	MRPL54	MRPL1
MRPL54	MRPL37	MRPL54	MRPL37
MRPL54	MRPL18	MRPL54	MRPL18
MRPL54	MRPL46	MRPL54	MRPL46
MRPL54	MRPL44	MRPL54	MRPL44
MRPL54	MRPL47	MRPL54	MRPL47
MRPL54	MRPL40	MRPL54	MRPL40
MRPL54	MRPL17	MRPL54	MRPL17
MRPL54	MRPL22	MRPL54	MRPL22
MRPL54	MRPL16	MRPL54	MRPL16
MRPL54	MRPL39	MRPL54	MRPL39
MRPL54	MRPL35	MRPL54	MRPL35
MRPL54	MRPL15	MRPL54	MRPL15
MRPL54	MRPL36	MRPL54	MRPL36
MRPL54	MRPL27	MRPL54	MRPL27
MRPL54	MRPL11	MRPL54	MRPL11
MRPL54	MRPL42	MRPL54	MRPL42
MRPL14	MRPL21	MRPL14	MRPL21
MRPL14	MRPL55	MRPL14	MRPL55
MRPL14	MRPL10	MRPL14	MRPL10
MRPL14	MRPL52	MRPL14	MRPL52
MRPL14	MRPL41	MRPL14	MRPL41
MRPL14	MRPL50	MRPL14	MRPL50
MRPL14	MRPL43	MRPL14	MRPL43
MRPL14	MRPL30	MRPL14	MRPL30
MRPL14	MRPL24	MRPL14	MRPL24
MRPL14	MRPL38	MRPL14	MRPL38
MRPL14	MRPL53	MRPL14	MRPL53
MRPL14	MRPL48	MRPL14	MRPL48
MRPL14	MRPL34	MRPL14	MRPL34
MRPL14	MRPL45	MRPL14	MRPL45
MRPL14	MRPL32	MRPL14	MRPL32
MRPL14	MRPL20	MRPL14	MRPL20
MRPL14	MRPL13	MRPL14	MRPL13
MRPL14	MRPL9	MRPL14	MRPL9
MRPL14	MRPL4	MRPL14	MRPL4
MRPL14	MRPL1	MRPL14	MRPL1
MRPL14	MRPL37	MRPL14	MRPL37
MRPL14	MRPL18	MRPL14	MRPL18
MRPL14	MRPL46	MRPL14	MRPL46
MRPL14	MRPL44	MRPL14	MRPL44
MRPL14	MRPL47	MRPL14	MRPL47
MRPL14	MRPL40	MRPL14	MRPL40
MRPL14	MRPL17	MRPL14	MRPL17
MRPL14	MRPL22	MRPL14	MRPL22
MRPL14	MRPL16	MRPL14	MRPL16
MRPL14	MRPL39	MRPL14	MRPL39
MRPL14	MRPL35	MRPL14	MRPL35
MRPL14	MRPL15	MRPL14	MRPL15
MRPL14	MRPL36	MRPL14	MRPL36
MRPL14	MRPL27	MRPL14	MRPL27
MRPL14	MRPL11	MRPL14	MRPL11
MRPL14	MRPL42	MRPL14	MRPL42
MRPL21	MRPL55	MRPL21	MRPL55
MRPL21	MRPL10	MRPL21	MRPL10
MRPL21	MRPL52	MRPL21	MRPL52
MRPL21	MRPL41	MRPL21	MRPL41
MRPL21	MRPL50	MRPL21	MRPL50
MRPL21	MRPL43	MRPL21	MRPL43
MRPL21	MRPL30	MRPL21	MRPL30
MRPL21	MRPL24	MRPL21	MRPL24
MRPL21	MRPL38	MRPL21	MRPL38
MRPL21	MRPL53	MRPL21	MRPL53
MRPL21	MRPL48	MRPL21	MRPL48
MRPL21	MRPL34	MRPL21	MRPL34
MRPL21	MRPL45	MRPL21	MRPL45
MRPL21	MRPL32	MRPL21	MRPL32
MRPL21	MRPL20	MRPL21	MRPL20
MRPL21	MRPL13	MRPL21	MRPL13
MRPL21	MRPL9	MRPL21	MRPL9
MRPL21	MRPL4	MRPL21	MRPL4
MRPL21	MRPL1	MRPL21	MRPL1
MRPL21	MRPL37	MRPL21	MRPL37
MRPL21	MRPL18	MRPL21	MRPL18
MRPL21	MRPL46	MRPL21	MRPL46
MRPL21	MRPL44	MRPL21	MRPL44
MRPL21	MRPL47	MRPL21	MRPL47
MRPL21	MRPL40	MRPL21	MRPL40
MRPL21	MRPL17	MRPL21	MRPL17
MRPL21	MRPL22	MRPL21	MRPL22
MRPL21	MRPL16	MRPL21	MRPL16
MRPL21	MRPL39	MRPL21	MRPL39
MRPL21	MRPL35	MRPL21	MRPL35
MRPL21	MRPL15	MRPL21	MRPL15
MRPL21	MRPL36	MRPL21	MRPL36
MRPL21	MRPL27	MRPL21	MRPL27
MRPL21	MRPL11	MRPL21	MRPL11
MRPL21	MRPL42	MRPL21	MRPL42
MRPL55	MRPL10	MRPL55	MRPL10
MRPL55	MRPL52	MRPL55	MRPL52
MRPL55	MRPL41	MRPL55	MRPL41
MRPL55	MRPL50	MRPL55	MRPL50
MRPL55	MRPL43	MRPL55	MRPL43
MRPL55	MRPL30	MRPL55	MRPL30
MRPL55	MRPL24	MRPL55	MRPL24
MRPL55	MRPL38	MRPL55	MRPL38
MRPL55	MRPL53	MRPL55	MRPL53
MRPL55	MRPL48	MRPL55	MRPL48
MRPL55	MRPL34	MRPL55	MRPL34
MRPL55	MRPL45	MRPL55	MRPL45
MRPL55	MRPL32	MRPL55	MRPL32
MRPL55	MRPL20	MRPL55	MRPL20
MRPL55	MRPL13	MRPL55	MRPL13
MRPL55	MRPL9	MRPL55	MRPL9
MRPL55	MRPL4	MRPL55	MRPL4
MRPL55	MRPL1	MRPL55	MRPL1
MRPL55	MRPL37	MRPL55	MRPL37
MRPL55	MRPL18	MRPL55	MRPL18
MRPL55	MRPL46	MRPL55	MRPL46
MRPL55	MRPL44	MRPL55	MRPL44
MRPL55	MRPL47	MRPL55	MRPL47
MRPL55	MRPL40	MRPL55	MRPL40
MRPL55	MRPL17	MRPL55	MRPL17
MRPL55	MRPL22	MRPL55	MRPL22
MRPL55	MRPL16	MRPL55	MRPL16
MRPL55	MRPL39	MRPL55	MRPL39
MRPL55	MRPL35	MRPL55	MRPL35
MRPL55	MRPL15	MRPL55	MRPL15
MRPL55	MRPL36	MRPL55	MRPL36
MRPL55	MRPL27	MRPL55	MRPL27
MRPL55	MRPL11	MRPL55	MRPL11
MRPL55	MRPL42	MRPL55	MRPL42
MRPL10	MRPL52	MRPL10	MRPL52
MRPL10	MRPL41	MRPL10	MRPL41
MRPL10	MRPL50	MRPL10	MRPL50
MRPL10	MRPL43	MRPL10	MRPL43
MRPL10	MRPL30	MRPL10	MRPL30
MRPL10	MRPL24	MRPL10	MRPL24
MRPL10	MRPL38	MRPL10	MRPL38
MRPL10	MRPL53	MRPL10	MRPL53
MRPL10	MRPL48	MRPL10	MRPL48
MRPL10	MRPL34	MRPL10	MRPL34
MRPL10	MRPL45	MRPL10	MRPL45
MRPL10	MRPL32	MRPL10	MRPL32
MRPL10	MRPL20	MRPL10	MRPL20
MRPL10	MRPL13	MRPL10	MRPL13
MRPL10	MRPL9	MRPL10	MRPL9
MRPL10	MRPL4	MRPL10	MRPL4
MRPL10	MRPL1	MRPL10	MRPL1
MRPL10	MRPL37	MRPL10	MRPL37
MRPL10	MRPL18	MRPL10	MRPL18
MRPL10	MRPL46	MRPL10	MRPL46
MRPL10	MRPL44	MRPL10	MRPL44
MRPL10	MRPL47	MRPL10	MRPL47
MRPL10	MRPL40	MRPL10	MRPL40
MRPL10	MRPL17	MRPL10	MRPL17
MRPL10	MRPL22	MRPL10	MRPL22
MRPL10	MRPL16	MRPL10	MRPL16
MRPL10	MRPL39	MRPL10	MRPL39
MRPL10	MRPL35	MRPL10	MRPL35
MRPL10	MRPL15	MRPL10	MRPL15
MRPL10	MRPL36	MRPL10	MRPL36
MRPL10	MRPL27	MRPL10	MRPL27
MRPL10	MRPL11	MRPL10	MRPL11
MRPL10	MRPL42	MRPL10	MRPL42
MRPL52	MRPL41	MRPL52	MRPL41
MRPL52	MRPL50	MRPL52	MRPL50
MRPL52	MRPL43	MRPL52	MRPL43
MRPL52	MRPL30	MRPL52	MRPL30
MRPL52	MRPL24	MRPL52	MRPL24
MRPL52	MRPL38	MRPL52	MRPL38
MRPL52	MRPL53	MRPL52	MRPL53
MRPL52	MRPL48	MRPL52	MRPL48
MRPL52	MRPL34	MRPL52	MRPL34
MRPL52	MRPL45	MRPL52	MRPL45
MRPL52	MRPL32	MRPL52	MRPL32
MRPL52	MRPL20	MRPL52	MRPL20
MRPL52	MRPL13	MRPL52	MRPL13
MRPL52	MRPL9	MRPL52	MRPL9
MRPL52	MRPL4	MRPL52	MRPL4
MRPL52	MRPL1	MRPL52	MRPL1
MRPL52	MRPL37	MRPL52	MRPL37
MRPL52	MRPL18	MRPL52	MRPL18
MRPL52	MRPL46	MRPL52	MRPL46
MRPL52	MRPL44	MRPL52	MRPL44
MRPL52	MRPL47	MRPL52	MRPL47
MRPL52	MRPL40	MRPL52	MRPL40
MRPL52	MRPL17	MRPL52	MRPL17
MRPL52	MRPL22	MRPL52	MRPL22
MRPL52	MRPL16	MRPL52	MRPL16
MRPL52	MRPL39	MRPL52	MRPL39
MRPL52	MRPL35	MRPL52	MRPL35
MRPL52	MRPL15	MRPL52	MRPL15
MRPL52	MRPL36	MRPL52	MRPL36
MRPL52	MRPL27	MRPL52	MRPL27
MRPL52	MRPL11	MRPL52	MRPL11
MRPL52	MRPL42	MRPL52	MRPL42
MRPL41	MRPL50	MRPL41	MRPL50
MRPL41	MRPL43	MRPL41	MRPL43
MRPL41	MRPL30	MRPL41	MRPL30
MRPL41	MRPL24	MRPL41	MRPL24
MRPL41	MRPL38	MRPL41	MRPL38
MRPL41	MRPL53	MRPL41	MRPL53
MRPL41	MRPL48	MRPL41	MRPL48
MRPL41	MRPL34	MRPL41	MRPL34
MRPL41	MRPL45	MRPL41	MRPL45
MRPL41	MRPL32	MRPL41	MRPL32
MRPL41	MRPL20	MRPL41	MRPL20
MRPL41	MRPL13	MRPL41	MRPL13
MRPL41	MRPL9	MRPL41	MRPL9
MRPL41	MRPL4	MRPL41	MRPL4
MRPL41	MRPL1	MRPL41	MRPL1
MRPL41	MRPL37	MRPL41	MRPL37
MRPL41	MRPL18	MRPL41	MRPL18
MRPL41	MRPL46	MRPL41	MRPL46
MRPL41	MRPL44	MRPL41	MRPL44
MRPL41	MRPL47	MRPL41	MRPL47
MRPL41	MRPL40	MRPL41	MRPL40
MRPL41	MRPL17	MRPL41	MRPL17
MRPL41	MRPL22	MRPL41	MRPL22
MRPL41	MRPL16	MRPL41	MRPL16
MRPL41	MRPL39	MRPL41	MRPL39
MRPL41	MRPL35	MRPL41	MRPL35
MRPL41	MRPL15	MRPL41	MRPL15
MRPL41	MRPL36	MRPL41	MRPL36
MRPL41	MRPL27	MRPL41	MRPL27
MRPL41	MRPL11	MRPL41	MRPL11
MRPL41	MRPL42	MRPL41	MRPL42
MRPL50	MRPL43	MRPL50	MRPL43
MRPL50	MRPL30	MRPL50	MRPL30
MRPL50	MRPL24	MRPL50	MRPL24
MRPL50	MRPL38	MRPL50	MRPL38
MRPL50	MRPL53	MRPL50	MRPL53
MRPL50	MRPL48	MRPL50	MRPL48
MRPL50	MRPL34	MRPL50	MRPL34
MRPL50	MRPL45	MRPL50	MRPL45
MRPL50	MRPL32	MRPL50	MRPL32
MRPL50	MRPL20	MRPL50	MRPL20
MRPL50	MRPL13	MRPL50	MRPL13
MRPL50	MRPL9	MRPL50	MRPL9
MRPL50	MRPL4	MRPL50	MRPL4
MRPL50	MRPL1	MRPL50	MRPL1
MRPL50	MRPL37	MRPL50	MRPL37
MRPL50	MRPL18	MRPL50	MRPL18
MRPL50	MRPL46	MRPL50	MRPL46
MRPL50	MRPL44	MRPL50	MRPL44
MRPL50	MRPL47	MRPL50	MRPL47
MRPL50	MRPL40	MRPL50	MRPL40
MRPL50	MRPL17	MRPL50	MRPL17
MRPL50	MRPL22	MRPL50	MRPL22
MRPL50	MRPL16	MRPL50	MRPL16
MRPL50	MRPL39	MRPL50	MRPL39
MRPL50	MRPL35	MRPL50	MRPL35
MRPL50	MRPL15	MRPL50	MRPL15
MRPL50	MRPL36	MRPL50	MRPL36
MRPL50	MRPL27	MRPL50	MRPL27
MRPL50	MRPL11	MRPL50	MRPL11
MRPL50	MRPL42	MRPL50	MRPL42
MRPL43	MRPL30	MRPL43	MRPL30
MRPL43	MRPL24	MRPL43	MRPL24
MRPL43	MRPL38	MRPL43	MRPL38
MRPL43	MRPL53	MRPL43	MRPL53
MRPL43	MRPL48	MRPL43	MRPL48
MRPL43	MRPL34	MRPL43	MRPL34
MRPL43	MRPL45	MRPL43	MRPL45
MRPL43	MRPL32	MRPL43	MRPL32
MRPL43	MRPL20	MRPL43	MRPL20
MRPL43	MRPL13	MRPL43	MRPL13
