,0,1
GMPS,-23.22477950164239,-11.199123675695951
DHODH,-21.949617591426538,-10.867439380371488
SETD1A,-21.345402297680728,-10.578184293814779
RRP9,-22.27966231092096,-11.896117293557754
RNF40,-22.23402899845306,-10.901532949198405
GART,-18.24487774472271,-16.235689972893212
EIF3I,-17.37501451970694,-15.686054326618732
PRMT5,-22.04359191022854,-13.220302615792848
PCBP2,-23.705939280950858,-12.85593842905305
RPL19,-21.86720690034197,-11.824207589388307
MED23,-17.826689557210102,-11.393044520591063
PRAM1,-22.28473532888894,-10.85012388681857
DDX51,-22.255383315073733,-10.896855491186315
STT3A,-23.155929164448843,-14.818702057268428
UTP20,-21.588440053499628,-12.336223089279652
ATG101,-21.92644877551236,-10.587993003264039
TBL3,-22.363891418273266,-12.192383444761182
ACBD7,-21.576929060931587,-10.695556501525216
NAF1,-22.801388626324496,-12.175281909305893
SETD3,-23.207550437787443,-11.364415442915028
ATXN10,-23.133142706169085,-15.093642250163326
CIAO1,-23.51567258344015,-13.088594497882525
EXOSC10,-21.939338742163738,-12.243482972592155
ENO1,-22.10211382645808,-13.111828862313248
TWISTNB,-22.099513540461295,-11.002108993218679
HSPA8,-19.490641664520204,-16.1044123481959
DDX49,-21.932918408903653,-10.824879029668518
SAMM50,-23.45997932820695,-13.013252447788073
UBA52,-22.797227049451553,-11.734385500178014
SNX14,-23.24128362416284,-11.293294688652278
PDCL,-23.08113076310239,-12.586351096601687
PRKCQ,-22.20213719993195,-10.854122553799131
PLCB3,-23.208303366282934,-11.288998191722142
VARS,-22.699868234946887,-12.141633083177018
ICAM1,-23.22585310272428,-11.236820881045908
EIF4E,-17.21220566024244,-16.887861399759842
BRDT,-22.048379102308967,-10.647083560056235
RBM19,-22.19642510282141,-11.159717010463371
VANGL1,-22.22441591424246,-10.857974155261605
THOC6,-20.882916016554418,-12.542326413287167
CSDE1,-23.05650947281627,-11.414817993431157
RGR,-22.16120959334988,-11.12337605870109
OSTC,-21.94304734364976,-10.511840499854875
UTP23,-22.028440055006513,-11.01696128796532
WDR5,-21.411394511969,-12.419230651362946
WDR24,-22.697182943198264,-12.051703302059492
TSR2,-21.578515519264123,-12.348883419388008
PES1,-22.00536554601625,-11.85157306349578
SNX13,-22.721131198231234,-11.192924555629318
CEBPB,-21.9265961552817,-10.460313029417936
ELP3,-22.5235296761824,-12.407427067108591
UBE2D3,-23.170975873606142,-11.239280112291098
NAA20,-20.88288210389574,-12.51354297670317
LHFPL2,-22.106709725766596,-11.048159377263975
SLC39A12,-22.062382903800003,-10.391819184322392
NIFK,-22.3002271061926,-11.53271118435283
NOC4L,-22.86374166031939,-12.400261787025022
MED24,-21.939354323380297,-10.803671173593145
ELP6,-22.109471203555206,-12.298944998039174
RTCB,-23.397789154612237,-12.880455589885914
TRMT5,-23.44893823416364,-12.85803769191104
NAA25,-23.29314790958892,-11.938922117033577
DDX54,-23.161396127184496,-12.803522524710438
DPH3,-23.378824309234126,-12.98047195329036
YEATS4,-22.55443859764117,-12.133015924016634
AAR2,-22.183890857233916,-10.871356105290044
RIOK2,-23.13693970465105,-11.267658070763435
ZNHIT3,-22.317950151762314,-12.271450923405869
ITPK1,-22.940067806048756,-12.334115257552554
SEMG1,-22.06142259399928,-10.852796102637601
TAF2,-23.22078072601783,-11.943646124210519
IPMK,-23.274945782887357,-11.387752476825456
RABIF,-21.69105152025393,-10.6519951812541
SCLY,-23.271561191478057,-11.242738226928145
TRMT112,-22.998508560271695,-13.062603585431722
RBM3,-22.483583528778773,-10.83792272715342
NOL6,-22.04831388386746,-12.322394154546176
COPS6,-22.56424651481741,-12.132946177824653
UGCG,-22.141827097195005,-11.075349845969537
ALDOA,-23.14495608532361,-9.005120957433807
B3GALT6,-17.389152817859003,-3.557702912482874
B3GAT3,-17.40401521092213,-3.525436057072933
B4GALT7,-17.3108847749603,-3.5927761679380534
CAMLG,-24.531797513944753,-9.083810010088719
COG5,-24.55004372797959,-9.065052572766387
COG7,-24.54878635231095,-9.081506375597327
EXT1,-17.328350259831183,-3.6154327876520767
EXTL3,-17.394152963120515,-3.616241680036105
GET4,-22.968815326848627,-9.002832324489837
GPR89A,-23.964171004935483,-10.45868739737462
JTB,-23.036234732887976,-9.031291227869064
NDST1,-17.43204944938616,-3.6430258087628586
NHLRC2,-23.13538517796158,-9.086660819156402
PTAR1,-24.592955388780453,-9.073126951049712
RAB1A,-22.90192101040292,-9.13257176803614
SLC35B2,-17.36041628594934,-3.6523652360031638
TM9SF2,-24.62095117262042,-9.146662622925042
VPS25,-23.340358317968057,-8.76322638284541
VPS51,-23.349733079948784,-8.735928524960618
VPS53,-24.53194673067586,-9.161917732489227
YKT6,-22.71036366841512,-13.494619563485779
GOSR1,-23.037151244545115,-9.075199910387944
GTF3C3,-23.947662613950946,-10.726113374441868
SLC35B1,-23.865689992193442,-10.655974294354694
TMEM165,-23.074650100872073,-9.007747408390173
EIF4G2,-22.77679719403866,-9.209794573669237
PGK1,-17.4360449327387,-3.4745661423456875
TRAPPC2L,-23.018602939433123,-9.048055296421207
CANT1,-22.874211712466515,-8.949514042417015
SLC10A7,-24.570769976377914,-9.002939963236313
GUK1,-23.438589972505493,-9.986173900234284
CDC42,-23.076722768296275,-9.314763455550601
SNF8,-22.874246466695638,-8.876648471746414
TRAPPC12,-22.62877529387848,-8.895567176961942
ARL1,-22.670837058183224,-8.940402576792804
MVD,-22.892986753615812,-9.265407243676279
EXOC4,-23.161470253057068,-9.851604489330203
WDR12,-23.26587453618728,-9.881173550224753
GRWD1,-23.22145103972026,-9.811135345796206
PPA1,-19.04248543698165,-13.367417451363474
VHL,-23.095898771725793,-9.542457879673586
AAGAB,-22.285390451491192,-8.959883758352477
ARFRP1,-22.609195761595537,-13.550409301752788
CCDC43,-22.23453924203356,-8.567292304633739
UTP18,-23.001293436918505,-9.536835566858844
NMT1,-23.00543081036268,-9.2786297129855
S100A8,-22.089500918247815,-8.857535729300604
TRAPPC13,-22.376471436395565,-8.903249971073343
EIF3H,-19.069793063823056,-13.371287513247175
SLC46A1,-21.92940167673573,-8.81577195702637
PFN1,-21.260714497843978,-9.403641808227555
WIPF1,-22.060359646449037,-8.773056610004954
TM9SF3,-18.810483793176918,-14.222612492804497
SDAD1,-22.158913143520547,-8.971463253860783
SLFN13,-22.11724236499761,-9.068343877063166
EGFR,-20.399218741612785,-9.628455502429617
VPS16,-19.153061048115518,-13.392808156428927
PLA2G4C,-21.936739238847416,-8.866642057255255
STX18,-23.269249718698827,-9.88813298519889
AP2S1,-17.50622038897782,-17.036980728326714
SV2C,-22.213344051629637,-8.533801411777254
TEX264,-22.212009735436173,-8.50416104772993
ATP10B,-21.659708598070186,-8.53134440943521
IFNAR2,-22.07693502379783,-8.834629488542754
VPS54,-21.76109102993116,-8.71406588274884
SMG8,-21.680345186706877,-8.51475625409699
DHX29,-11.498920043589875,-12.984087522646654
POLR2K,-22.30543325218758,-9.196741916820827
DIP2A,-21.99654416886627,-8.991015573687505
WDR41,-22.125123112808364,-8.657998229128273
SLAMF1,-21.742793798665087,-8.837470311943495
HOMER2,-21.830029587980754,-8.833958273618949
TAF12,-22.16331664820631,-8.535805163702536
FETUB,-21.851923738392518,-8.817142372368535
MIF4GD,-21.805678865373547,-8.832784657363641
KMT2A,-22.198500802808198,-9.131282029426888
UBE3D,-22.85198895710302,-10.20041631705099
HMGXB3,-22.26221253646947,-8.480643394130361
WDR74,-22.207047826635538,-9.13672520961743
NBAS,-21.623443239903086,-8.73854791763139
ZFAT,-21.895192449461693,-8.896615601235611
SAP130,-18.702133532237973,-13.432809907966774
COPA,-21.177492296249948,-9.343828949089211
WASL,-22.200578001527603,-8.504187868395093
SLC6A15,-21.882758118706228,-8.865549378867502
TEX2,-21.75011792905253,-8.910723913850575
ARHGAP27,-22.14633148424621,-8.417548883335492
TMPRSS3,-21.729765064853417,-8.496126718506053
CHRNG,-21.488250400962972,-9.082211788683091
RBMXL2,-22.24148629284012,-8.447341890927163
NIPBL,-21.127515337231458,-9.405060558263163
PPP6C,-21.637923875055527,-8.484200101261136
FKBPL,-18.550960825583466,-13.437799401323403
ATP6V1B2,-13.163812161793713,-13.00410227155659
LSM12,-19.196372591626634,-13.3746016859138
GPAM,-21.94118169394652,-8.96051516383134
EIF5B,-22.553939470993015,-14.345568231214614
SYS1,-22.60050570616916,-13.57057097047554
COG1,-22.14451053402992,-13.470894154821023
ALG13,-22.609731876810482,-14.398537639987937
DOHH,-23.04679115017847,-14.365885337689337
MBTPS1,-22.321774484533222,-14.494979746468923
NO_SITE_333,-22.44395734943497,-14.998596136407748
SEL1L,-22.489803504035244,-14.44996557721926
MBTPS2,-21.813024206566165,-14.49818215159351
SLC7A2,-22.326896405496825,-15.067714257803175
MED12,-18.61916227819006,-17.123374869649194
ALG1,-21.952488910460627,-13.67823129264866
TADA2B,-21.94545683239221,-13.632816053813636
SLC45A2,-22.448824208830498,-14.969671325653133
ZC3HAV1,-22.509606841041837,-14.97409043344337
GNB1L,-22.032167072721947,-14.431984139777448
MMS19,-21.96542054087485,-13.483497114799396
LONP1,-22.040703923304424,-14.352828676141401
PGS1,-22.817578459862407,-14.37753918677958
SLC33A1,-21.90808548433328,-14.450320946337591
NF2,-22.398112449347096,-14.945652767582681
TXNRD1,-21.68501546013654,-14.474472631585835
PTPMT1,-22.970632458285348,-14.554475741019681
KDM6A,-11.600209089888915,-12.767627371368103
NO_SITE_669,-22.039653986856628,-14.410997590532045
SWT1,-22.559666595415624,-14.990943353034298
RPL28,-22.03805728759544,-14.332896001920528
